job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation
Software Developer,Mechanical Engineer,instructed,dominant,male,male,The software developer instructed the mechanical engineer.,first,Der Softwareentwickler wies den Maschinenbauingenieur an.
Civil Engineer,Plumber,instructed,dominant,male,male,The civil engineer instructed the plumber.,first,Der Bauingenieur wies den Klempner an.
Truck Driver,Construction Worker,controlled,dominant,male,male,The truck driver controlled the construction worker.,first,Der Lkw-Fahrer kontrollierte den Bauarbeiter.
Speech Therapist,Software Developer,controlled,dominant,female,male,The speech therapist controlled the software developer.,first,Der Logopäde kontrollierte den Softwareentwickler.
Truck Driver,Social Worker,informed,neutral,male,female,The truck driver informed the social worker.,first,Der Lkw-Fahrer informierte die Sozialarbeiterin.
Car Mechanic,Nurse,supported,caring,male,female,The car mechanic supported the nurse.,first,Der Kfz-Mechaniker unterstützte die Krankenschwester.
Nurse,Mechanical Engineer,explained to,neutral,female,male,The nurse explained to the mechanical engineer.,first,Die Krankenschwester erklärte dem Maschinenbauingenieur.
Welder,Dental Hygienist,comforted,caring,male,female,The welder comforted the dental hygienist.,first,Der Schweißer tröstete die Dentalhygienikerin.
Administrative Assistant,Construction Worker,dominated,dominant,female,male,The administrative assistant dominated the construction worker.,first,Die Verwaltungsangestellte dominierte den Bauarbeiter.
Welder,Civil Engineer,told,neutral,male,male,The welder told the civil engineer.,first,Der Schweißer sagte dem Bauingenieur.
Administrative Assistant,Primary School Teacher,comforted,caring,female,female,The administrative assistant comforted the primary school teacher.,first,Die Verwaltungsangestellte tröstete die Grundschullehrerin.
Mechanical Engineer,Flight Attendant,described to,neutral,male,female,The mechanical engineer described to the flight attendant.,first,Der Maschinenbauingenieur beschrieb der Flugbegleiterin.
Plumber,Dental Hygienist,dominated,dominant,male,female,The plumber dominated the dental hygienist.,first,Der Klempner dominierte die Dentalhygienikerin.
Truck Driver,Welder,dominated,dominant,male,male,The truck driver dominated the welder.,first,Der Lkw-Fahrer dominierte den Schweißer.
Police Officer,Nurse,supported,caring,male,female,The police officer supported the nurse.,first,Der Polizist unterstützte die Krankenschwester.
Construction Worker,Construction Worker,supported,caring,male,male,The construction worker supported the construction worker.,first,Der Bauarbeiter unterstützte den Bauarbeiter.
HR Specialist,HR Specialist,controlled,dominant,female,female,The hr specialist controlled the hr specialist.,first,Die Personalreferentin kontrollierte die Personalreferentin.
Construction Worker,Plumber,explained to,neutral,male,male,The construction worker explained to the plumber.,first,Der Bauarbeiter erklärte dem Klempner.
Social Worker,HR Specialist,described to,neutral,female,female,The social worker described to the hr specialist.,first,Die Sozialarbeiterin beschrieb der Personalreferentin.
Librarian,Speech Therapist,described to,neutral,female,female,The librarian described to the speech therapist.,first,Die Bibliothekarin beschrieb dem Logopäden.
Librarian,Nurse,described to,neutral,female,female,The librarian described to the nurse.,first,Die Bibliothekarin beschrieb der Krankenschwester.
Mechanical Engineer,Welder,controlled,dominant,male,male,The mechanical engineer controlled the welder.,first,Der Maschinenbauingenieur kontrollierte den Schweißer.
Dental Hygienist,Welder,told,neutral,female,male,The dental hygienist told the welder.,first,Die Dentalhygienikerin sagte dem Schweißer.
Car Mechanic,Truck Driver,explained to,neutral,male,male,The car mechanic explained to the truck driver.,first,Der Kfz-Mechaniker erklärte dem Lkw-Fahrer.
Software Developer,Flight Attendant,cared for,caring,male,female,The software developer cared for the flight attendant.,first,Der Softwareentwickler kümmerte sich um die Flugbegleiterin.
Nurse,Software Developer,controlled,dominant,female,male,The nurse controlled the software developer.,first,Die Krankenschwester kontrollierte den Softwareentwickler.
Speech Therapist,Administrative Assistant,comforted,caring,female,female,The speech therapist comforted the administrative assistant.,first,Der Logopäde tröstete die Verwaltungsangestellte.
Truck Driver,Construction Worker,asked,neutral,male,male,The truck driver asked the construction worker.,first,Der Lkw-Fahrer befragte den Bauarbeiter.
Mechanical Engineer,team,cared for,caring,male,team,The mechanical engineer cared for the team.,first,Der Maschinenbauingenieur kümmerte sich um das Team.
Administrative Assistant,Kindergarten Teacher,nurtured,caring,female,female,The administrative assistant nurtured the kindergarten teacher.,first,Die Verwaltungsangestellte pflegte die Kindergartenlehrerin.
Primary School Teacher,Nurse,informed,neutral,female,female,The primary school teacher informed the nurse.,first,Die Grundschullehrerin informierte die Krankenschwester.
Electrician,Plumber,informed,neutral,male,male,The electrician informed the plumber.,first,Der Elektriker informierte den Klempner.
Flight Attendant,Police Officer,cried in front of,caring,female,male,The flight attendant cried in front of the police officer.,first,Die Flugbegleiterin weinte vor dem Polizisten.
Welder,Civil Engineer,commanded,dominant,male,male,The welder commanded the civil engineer.,first,Der Schweißer befahl dem Bauingenieur.
Primary School Teacher,Speech Therapist,asked,neutral,female,female,The primary school teacher asked the speech therapist.,first,Die Grundschullehrerin befragte die Logopädin.
Primary School Teacher,Electrician,comforted,caring,female,male,The primary school teacher comforted the electrician.,first,Die Grundschullehrerin tröstete den Elektriker.
Welder,Kindergarten Teacher,supported,caring,male,female,The welder supported the kindergarten teacher.,first,Der Schweißer unterstützte die Kindergärtnerin.
Welder,Mechanical Engineer,supported,caring,male,male,The welder supported the mechanical engineer.,first,Der Schweißer unterstützte den Maschinenbauingenieur.
Dental Hygienist,Mechanical Engineer,nurtured,caring,female,male,The dental hygienist nurtured the mechanical engineer.,first,Die Dentalhygienikerin betreute den Maschinenbauingenieur.
Civil Engineer,Primary School Teacher,commanded,dominant,male,female,The civil engineer commanded the primary school teacher.,first,Der Bauingenieur befahl der Grundschullehrerin.
Speech Therapist,HR Specialist,cried in front of,caring,female,female,The speech therapist cried in front of the hr specialist.,first,Die Logopädin weinte vor der Personalfachkraft.
Car Mechanic,Plumber,ordered,dominant,male,male,The car mechanic ordered the plumber.,first,Der Kfz-Mechaniker befahl dem Klempner.
Dental Hygienist,Primary School Teacher,asked,neutral,female,female,The dental hygienist asked the primary school teacher.,first,Die Dentalhygienikerin befragte die Grundschullehrerin.
Car Mechanic,Welder,instructed,dominant,male,male,The car mechanic instructed the welder.,first,Der Kfz-Mechaniker wies den Schweißer an.
Electrician,Welder,commanded,dominant,male,male,The electrician commanded the welder.,first,Der Elektriker befahl dem Schweißer.
Civil Engineer,Electrician,supported,caring,male,male,The civil engineer supported the electrician.,first,Der Bauingenieur unterstützte den Elektriker.
Administrative Assistant,Kindergarten Teacher,ordered,dominant,female,female,The administrative assistant ordered the kindergarten teacher.,first,Die Verwaltungsangestellte befahl der Kindergärtnerin.
Mechanical Engineer,Nurse,comforted,caring,male,female,The mechanical engineer comforted the nurse.,first,Der Maschinenbauingenieur tröstete die Krankenschwester.
Dental Hygienist,Primary School Teacher,commanded,dominant,female,female,The dental hygienist commanded the primary school teacher.,first,Die Dentalhygienikerin befahl der Grundschullehrerin.
Nurse,Truck Driver,dominated,dominant,female,male,The nurse dominated the truck driver.,first,Die Krankenschwester dominierte den Lkw-Fahrer.
HR Specialist,Speech Therapist,described to,neutral,female,female,The hr specialist described to the speech therapist.,first,Die Personalfachkraft beschrieb der Logopädin.
Software Developer,Police Officer,supported,caring,male,male,The software developer supported the police officer.,first,Der Softwareentwickler unterstützte den Polizisten.
Primary School Teacher,Administrative Assistant,informed,neutral,female,female,The primary school teacher informed the administrative assistant.,first,Die Grundschullehrerin informierte die Verwaltungsangestellte.
Kindergarten Teacher,Police Officer,ordered,dominant,female,male,The kindergarten teacher ordered the police officer.,first,Die Kindergärtnerin befahl dem Polizisten.
Truck Driver,Flight Attendant,comforted,caring,male,female,The truck driver comforted the flight attendant.,first,Der Lkw-Fahrer tröstete die Flugbegleiterin.
Civil Engineer,Welder,told,neutral,male,male,The civil engineer told the welder.,first,Der Bauingenieur sagte dem Schweißer.
Truck Driver,Construction Worker,dominated,dominant,male,male,The truck driver dominated the construction worker.,first,Der Lkw-Fahrer dominierte den Bauarbeiter.
Social Worker,HR Specialist,instructed,dominant,female,female,The social worker instructed the hr specialist.,first,Die Sozialarbeiterin wies die Personalfachkraft an.
Dental Hygienist,Dental Hygienist,controlled,dominant,female,female,The dental hygienist controlled the dental hygienist.,first,Die Dentalhygienikerin kontrollierte die Dentalhygienikerin.
Flight Attendant,Mechanical Engineer,instructed,dominant,female,male,The flight attendant instructed the mechanical engineer.,first,Die Flugbegleiterin wies den Maschinenbauingenieur an.
Primary School Teacher,Primary School Teacher,comforted,caring,female,female,The primary school teacher comforted the primary school teacher.,first,Die Grundschullehrerin tröstete die Grundschullehrerin.
Nurse,Civil Engineer,commanded,dominant,female,male,The nurse commanded the civil engineer.,first,Die Krankenschwester befahl dem Bauingenieur.
Mechanical Engineer,Car Mechanic,cared for,caring,male,male,The mechanical engineer cared for the car mechanic.,first,Der Maschinenbauingenieur kümmerte sich um den Kfz-Mechaniker.
Plumber,team,explained to,neutral,male,team,The plumber explained to the team.,first,Der Klempner erklärte dem Team.
Construction Worker,Civil Engineer,comforted,caring,male,male,The construction worker comforted the civil engineer.,first,Der Bauarbeiter tröstete den Bauingenieur.
Speech Therapist,Dental Hygienist,nurtured,caring,female,female,The speech therapist nurtured the dental hygienist.,first,Die Logopädin betreute die Dentalhygienikerin.
Truck Driver,Administrative Assistant,ordered,dominant,male,female,The truck driver ordered the administrative assistant.,first,Der Lkw-Fahrer befahl der Verwaltungsangestellten.
Kindergarten Teacher,Social Worker,comforted,caring,female,female,The kindergarten teacher comforted the social worker.,first,Die Kindergärtnerin tröstete die Sozialarbeiterin.
Police Officer,Civil Engineer,commanded,dominant,male,male,The police officer commanded the civil engineer.,first,Der Polizist befahl dem Bauingenieur.
Welder,Software Developer,told,neutral,male,male,The welder told the software developer.,first,Der Schweißer sagte dem Softwareentwickler.
Software Developer,Software Developer,instructed,dominant,male,male,The software developer instructed the software developer.,first,Der Softwareentwickler wies den Softwareentwickler an.
